b'Date,Open,High,Low,Close,Volume,Adj Close
2014-02-10,35.00,35.00,35.00,35.00,1600,31.789805
2014-02-07,34.75,35.00,34.75,34.75,1800,31.562735
2014-02-06,34.00,34.849998,34.00,34.849998,2800,31.653561
2014-02-05,33.599998,33.599998,33.439999,33.439999,2200,30.372886
2014-02-04,34.00,34.00,34.00,34.00,000,30.881525
2014-02-03,34.00,34.00,34.00,34.00,700,30.881525
2014-01-31,33.599998,34.849998,33.599998,34.849998,4800,31.653561
2014-01-30,33.50,33.50,33.50,33.50,000,30.427384
2014-01-29,33.50,33.50,33.50,33.50,100,30.427384
2014-01-28,34.849998,34.849998,34.849998,34.849998,000,31.653561
2014-01-27,34.849998,34.849998,34.849998,34.849998,000,31.653561
2014-01-24,34.50,34.849998,34.50,34.849998,400,31.653561
2014-01-23,33.75,33.75,33.50,33.50,800,30.427384
2014-01-22,33.849998,34.00,33.599998,33.650002,1300,30.563628
2014-01-21,34.00,34.00,33.599998,33.599998,500,30.518211
2014-01-17,34.18,34.18,34.00,34.00,1100,30.881525
2014-01-16,34.849998,34.849998,34.849998,34.849998,000,31.653561
2014-01-15,34.849998,34.849998,34.849998,34.849998,700,31.653561
2014-01-14,34.849998,34.849998,34.849998,34.849998,000,31.362912
2014-01-13,34.849998,34.849998,34.849998,34.849998,400,31.362912
2014-01-10,34.50,34.50,34.50,34.50,000,31.047935
2014-01-09,34.50,34.50,34.50,34.50,800,31.047935
2014-01-08,34.50,34.50,34.50,34.50,300,31.047935
2014-01-07,34.50,34.50,34.50,34.50,000,31.047935
2014-01-06,34.50,34.50,34.50,34.50,400,31.047935
2014-01-03,34.25,34.25,34.25,34.25,000,30.82295
2014-01-02,34.25,34.25,34.25,34.25,000,30.82295
2013-12-31,34.25,34.25,34.25,34.25,200,30.82295
2013-12-30,34.00,34.00,34.00,34.00,300,30.597965
2013-12-27,33.57,33.57,33.57,33.57,000,30.21099
2013-12-26,33.549999,33.75,33.240002,33.57,1400,30.21099
2013-12-24,33.599998,33.599998,33.599998,33.599998,000,30.237987
2013-12-23,33.599998,33.599998,33.549999,33.599998,600,30.237987
2013-12-20,33.599998,33.599998,33.599998,33.599998,300,30.237987
2013-12-19,34.00,34.00,34.00,34.00,100,30.597965
2013-12-18,34.00,34.00,34.00,34.00,100,30.597965
2013-12-17,34.00,34.00,34.00,34.00,000,30.597965
2013-12-16,34.00,34.00,34.00,34.00,000,30.597965
2013-12-13,34.00,34.00,34.00,34.00,000,30.597965
2013-12-12,34.00,34.00,34.00,34.00,000,30.597965
2013-12-11,34.169998,34.169998,34.00,34.00,400,30.597965
2013-12-10,35.00,35.00,35.00,35.00,000,31.497905
2013-12-09,35.00,35.00,35.00,35.00,200,31.497905
2013-12-06,34.75,34.75,34.75,34.75,000,31.27292
2013-12-05,34.75,34.75,34.75,34.75,000,31.27292
2013-12-04,35.099998,35.099998,34.75,34.75,3000,31.27292
2013-12-03,35.57,35.57,35.57,35.57,000,32.01087
2013-12-02,35.57,35.57,35.57,35.57,000,32.01087
2013-11-29,35.57,35.57,35.57,35.57,000,32.01087
2013-11-27,35.57,35.57,35.57,35.57,000,32.01087
2013-11-26,35.57,35.57,35.57,35.57,000,32.01087
2013-11-25,35.57,35.57,35.57,35.57,200,32.01087
2013-11-22,36.75,36.75,36.75,36.75,200,33.0728
2013-11-21,35.099998,36.00,35.099998,36.00,400,32.397845
2013-11-20,37.00,37.00,37.00,37.00,100,33.297785
2013-11-19,37.00,37.00,37.00,37.00,000,33.297785
2013-11-18,36.00,37.00,36.00,37.00,400,33.297785
2013-11-15,35.950001,35.950001,35.950001,35.950001,000,32.352848
2013-11-14,35.950001,35.950001,35.950001,35.950001,000,32.352848
2013-11-13,35.950001,35.950001,35.950001,35.950001,000,32.352848
2013-11-12,35.950001,35.950001,35.950001,35.950001,000,32.352848
